model,ngram,stop_words,n_comp,max_features,n_clusters,lemmatization,WSS,Silhouette Score
cv,"(1, 3)",english,50,1000,13,True,2499.2544,0.0545
cv,"(1, 3)",english,50,5000,5,False,6836.1383,0.0287
cv,"(1, 3)",english,50,5000,5,True,6695.3020,0.0246
cv,"(1, 3)",english,50,5000,9,False,6687.1301,-0.0222
cv,"(1, 3)",english,50,5000,9,True,6586.0023,-0.0260
cv,"(1, 3)",english,50,5000,13,False,6577.2516,-0.1503
cv,"(1, 3)",english,50,5000,13,True,6447.4324,0.0189
cv,"(1, 3)",english,100,1000,5,False,2805.2009,0.0867
cv,"(1, 3)",english,100,1000,5,True,2667.6985,0.0470
cv,"(1, 3)",english,100,1000,9,False,2688.8517,0.0616
cv,"(1, 3)",english,100,1000,9,True,2616.6329,0.1370
cv,"(1, 3)",english,100,1000,13,False,2608.2686,0.0676
cv,"(1, 3)",english,100,1000,13,True,2499.2544,0.0545
cv,"(1, 3)",english,100,5000,5,False,6836.1383,0.0287
cv,"(1, 3)",english,100,5000,5,True,6695.3020,0.0246
cv,"(1, 3)",english,100,5000,9,False,6687.1301,-0.0222
cv,"(1, 3)",english,100,5000,9,True,6586.0023,-0.0260
cv,"(1, 3)",english,100,5000,13,False,6577.2516,-0.1503
cv,"(1, 3)",english,100,5000,13,True,6447.4324,0.0189
tfidf,"(1, 1)",None,50,1000,5,False,432.3422,0.0070
tfidf,"(1, 1)",None,50,1000,5,True,431.7460,0.0080
tfidf,"(1, 1)",None,50,1000,9,False,424.6429,0.0076
tfidf,"(1, 1)",None,50,1000,9,True,424.2173,0.0083
tfidf,"(1, 1)",None,50,1000,13,False,417.5719,0.0093
tfidf,"(1, 1)",None,50,1000,13,True,415.7320,0.0125
tfidf,"(1, 1)",None,50,5000,5,False,438.2260,0.0042
tfidf,"(1, 1)",None,50,5000,5,True,438.4400,0.0039
tfidf,"(1, 1)",None,50,5000,9,False,430.4147,0.0061
tfidf,"(1, 1)",None,50,5000,9,True,431.2581,0.0046
tfidf,"(1, 1)",None,50,5000,13,False,424.8202,0.0063
tfidf,"(1, 1)",None,50,5000,13,True,424.6934,0.0069
tfidf,"(1, 1)",None,100,1000,5,False,432.3422,0.0070
tfidf,"(1, 1)",None,100,1000,5,True,431.7460,0.0080
tfidf,"(1, 1)",None,100,1000,9,False,424.6429,0.0076
tfidf,"(1, 1)",None,100,1000,9,True,424.2173,0.0083
tfidf,"(1, 1)",None,100,1000,13,False,417.5719,0.0093
tfidf,"(1, 1)",None,100,1000,13,True,415.7320,0.0125
tfidf,"(1, 1)",None,100,5000,5,False,438.2260,0.0042
tfidf,"(1, 1)",None,100,5000,5,True,438.4400,0.0039
tfidf,"(1, 1)",None,100,5000,9,False,430.4147,0.0061
tfidf,"(1, 1)",None,100,5000,9,True,431.2581,0.0046
tfidf,"(1, 1)",None,100,5000,13,False,424.8202,0.0063
tfidf,"(1, 1)",None,100,5000,13,True,424.6934,0.0069
tfidf,"(1, 1)",english,50,1000,5,False,436.0674,0.0075
tfidf,"(1, 1)",english,50,1000,5,True,434.4869,0.0105
tfidf,"(1, 1)",english,50,1000,9,False,426.6221,0.0113
tfidf,"(1, 1)",english,50,1000,9,True,426.5082,0.0107
tfidf,"(1, 1)",english,50,1000,13,False,417.9158,0.0151
tfidf,"(1, 1)",english,50,1000,13,True,417.6538,0.0151
tfidf,"(1, 1)",english,50,5000,5,False,439.8645,0.0048
tfidf,"(1, 1)",english,50,5000,5,True,439.5817,0.0055
tfidf,"(1, 1)",english,50,5000,9,False,431.8362,0.0078
tfidf,"(1, 1)",english,50,5000,9,True,432.3520,0.0073
tfidf,"(1, 1)",english,50,5000,13,False,425.4185,0.0086
tfidf,"(1, 1)",english,50,5000,13,True,425.2096,0.0091
tfidf,"(1, 1)",english,100,1000,5,False,436.0674,0.0075
tfidf,"(1, 1)",english,100,1000,5,True,434.4869,0.0105
tfidf,"(1, 1)",english,100,1000,9,False,426.6221,0.0113
tfidf,"(1, 1)",english,100,1000,9,True,426.5082,0.0107
tfidf,"(1, 1)",english,100,1000,13,False,417.9158,0.0151
tfidf,"(1, 1)",english,100,1000,13,True,417.6538,0.0151
tfidf,"(1, 1)",english,100,5000,5,False,439.8645,0.0048
tfidf,"(1, 1)",english,100,5000,5,True,439.5817,0.0055
tfidf,"(1, 1)",english,100,5000,9,False,431.8362,0.0078
tfidf,"(1, 1)",english,100,5000,9,True,432.3520,0.0073
tfidf,"(1, 1)",english,100,5000,13,False,425.4185,0.0086
tfidf,"(1, 1)",english,100,5000,13,True,425.2096,0.0091
tfidf,"(1, 2)",None,50,1000,5,False,432.4589,0.0070
tfidf,"(1, 2)",None,50,1000,5,True,431.5218,0.0086
tfidf,"(1, 2)",None,50,1000,9,False,423.4023,0.0094
tfidf,"(1, 2)",None,50,1000,9,True,422.1949,0.0096
tfidf,"(1, 2)",None,50,1000,13,False,416.2148,0.0101
tfidf,"(1, 2)",None,50,1000,13,True,415.0466,0.0130
tfidf,"(1, 2)",None,50,5000,5,False,442.6233,0.0023
tfidf,"(1, 2)",None,50,5000,5,True,442.4460,0.0024
tfidf,"(1, 2)",None,50,5000,9,False,436.7162,0.0031
tfidf,"(1, 2)",None,50,5000,9,True,437.0806,0.0028
tfidf,"(1, 2)",None,50,5000,13,False,431.1242,0.0044
tfidf,"(1, 2)",None,50,5000,13,True,431.2435,0.0041
tfidf,"(1, 2)",None,100,1000,5,False,432.4589,0.0070
tfidf,"(1, 2)",None,100,1000,5,True,431.5218,0.0086
tfidf,"(1, 2)",None,100,1000,9,False,423.4023,0.0094
tfidf,"(1, 2)",None,100,1000,9,True,422.1949,0.0096
tfidf,"(1, 2)",None,100,1000,13,False,416.2148,0.0101
